Date,Price,Open,High,Low,Vol.,Change %
2012-03-07,5452.03,5458.59,5473.3,5412.67,161640000.0,0.0043
2012-03-06,5428.53,5312.84,5430.77,5312.84,136040000.0,0.0158
2012-03-05,5344.32,5245.21,5344.38,5213.53,126500000.0,0.0068000000000000005
2012-03-04,5307.97,5424.99,5429.13,5307.79,115780000.0,-0.0115
2012-03-01,5369.97,5378.34,5399.2,5358.33,127370000.0,0.0038
2012-02-29,5349.85,5271.64,5350.17,5271.39,134540000.0,0.0239
2012-02-28,5224.89,5199.79,5231.58,5195.22,137440000.0,0.0012
2012-02-27,5218.44,5257.06,5274.15,5217.53,123840000.0,-0.0097
2012-02-26,5269.65,5196.13,5269.65,5196.13,155660000.0,0.024900000000000002
2012-02-23,5141.81,5039.41,5141.81,5039.41,144360000.0,0.0246
2012-02-22,5018.23,5016.39,5032.41,4982.53,89460000.0,-0.0025
2012-02-21,5030.75,5140.64,5140.64,5030.64,119100000.0,-0.023700000000000002
2012-02-20,5152.64,5137.9,5219.23,5137.9,155520000.0,0.0077
2012-02-19,5113.08,4987.66,5113.08,4987.66,151550000.0,0.0294
2012-02-16,4967.15,4985.24,4985.24,4926.46,144490000.0,-0.0073
2012-02-15,5003.45,5128.86,5129.47,5003.45,169530000.0,-0.0124
2012-02-14,5066.04,5242.5,5242.78,5031.25,209380000.0,-0.006500000000000001
2012-02-13,5099.36,5079.23,5136.24,5079.23,146870000.0,0.042199999999999994
2012-02-12,4892.93,4787.15,4892.93,4739.4,106980000.0,0.029300000000000003
2012-02-09,4753.65,4734.95,4781.65,4732.19,153270000.0,0.009399999999999999
2012-02-08,4709.21,4600.86,4711.15,4600.86,110630000.0,0.0273
2012-02-07,4583.89,4512.19,4583.89,4503.3,101670000.0,0.01
2012-02-06,4538.65,4480.83,4548.13,4477.15,82860000.0,-0.01
2012-02-02,4584.39,4487.79,4588.05,4469.16,136480000.0,-0.0222
2012-02-01,4688.29,4673.54,4712.61,4664.39,128850000.0,0.0086
2012-01-31,4648.13,4514.89,4648.14,4512.59,123390000.0,0.0259
2012-01-30,4530.73,4516.5,4531.07,4421.84,113400000.0,-0.001
2012-01-29,4535.18,4532.71,4595.29,4532.22,137770000.0,0.0231
2012-01-26,4432.99,4246.02,4432.99,4246.02,100810000.0,0.0718
2012-01-24,4136.19,4044.41,4136.3,4043.99,129300000.00000001,0.0304
2012-01-23,4014.27,3928.58,4014.27,3927.17,62490000.0,0.024
2012-01-22,3920.17,3948.91,3948.91,3917.34,133990000.00000001,0.0134
2012-01-19,3868.44,3895.67,3905.72,3866.38,42530000.0,-0.0091
2012-01-18,3904.09,3882.36,3913.8,3882.26,44960000.0,0.0069
2012-01-17,3877.29,3819.48,3877.29,3816.18,51300000.0,0.011699999999999999
2012-01-16,3832.39,3839.04,3843.87,3823.27,42810000.0,-0.002
2012-01-15,3840.05,3785.99,3841.34,3785.99,33330000.0,0.0165
2012-01-12,3777.88,3757.46,3777.88,3749.27,38950000.0,0.0031
2012-01-11,3766.17,3754.23,3771.29,3738.71,39050000.0,0.008199999999999999
2012-01-10,3735.64,3655.88,3735.65,3650.89,38800000.0,0.0236
2012-01-09,3649.42,3640.97,3650.32,3627.4,23830000.0,0.006
2012-01-05,3627.8,3654.67,3655.09,3621.07,16100000.000000002,-0.0074
2012-01-04,3654.79,3656.6,3657.71,3638.96,13140000.0,-0.0002
2012-01-03,3655.58,3681.97,3682.17,3655.23,18440000.0,-0.0066
2012-01-02,3679.96,3661.69,3680.03,3661.67,13830000.0,0.0159
2011-12-29,3622.35,3591.87,3622.35,3587.98,21720000.0,0.01
2011-12-28,3586.55,3638.1,3638.1,3578.12,26310000.0,-0.0092
2011-12-27,3619.72,3633.32,3643.93,3619.12,21120000.0,-0.0040999999999999995
2011-12-26,3634.77,3684.18,3684.18,3632.58,16329999.999999998,-0.013300000000000001
2011-12-25,3683.66,3648.54,3702.07,3645.84,15250000.0,0.019299999999999998
2011-12-22,3614.04,3686.1,3686.1,3613.45,29530000.0,-0.023799999999999998
2011-12-21,3702.05,3704.62,3737.2,3700.81,21580000.0,-0.0011
2011-12-20,3706.3,3797.43,3797.96,3706.3,26650000.0,-0.0252
2011-12-19,3802.22,3779.82,3823.55,3776.52,21630000.0,0.0051
2011-12-18,3782.74,3858.8,3858.8,3781.66,26280000.0,-0.0346
2011-12-15,3918.45,3896.97,3918.57,3895.15,16649999.999999998,-0.0001
2011-12-14,3918.71,3908.4,3918.71,3899.99,14780000.0,0.0031
2011-12-13,3906.48,3880.42,3906.54,3862.71,19020000.0,0.0063
2011-12-12,3882.17,3963.18,3963.3,3882.17,24050000.0,-0.0206
2011-12-11,3963.86,3978.71,4028.6,3963.86,19070000.0,-0.0016
2011-12-08,3970.05,3990.49,3990.5,3955.37,17920000.0,-0.0059
2011-12-07,3993.73,4029.07,4049.73,3993.73,38250000.0,-0.0076
2011-12-06,4024.43,4019.7,4026.26,3973.84,28070000.0,0.0012
2011-12-05,4019.5,4071.2,4071.2,4016.97,20780000.0,-0.0132
2011-12-04,4073.21,4096.37,4113.72,4073.21,23220000.0,-0.0036
2011-12-01,4087.89,4055.06,4087.89,4048.27,39800000.0,0.0169
2011-11-30,4020.14,4040.81,4050.96,4006.19,42950000.0,0.008199999999999999
2011-11-29,3987.3,3929.87,3987.83,3929.87,48960000.0,0.0548
2011-11-24,3780.13,3752.67,3780.78,3727.09,33770000.0,0.0169
2011-11-23,3717.48,3634.92,3717.84,3598.71,42180000.0,0.0111
2011-11-22,3676.73,3778.58,3778.58,3676.07,41460000.0,-0.04769999999999999
2011-11-21,3860.99,4012.24,4012.24,3860.99,37540000.0,-0.0404
2011-11-20,4023.45,4036.49,4037.56,3972.17,24070000.0,-0.0245
2011-11-17,4124.71,4169.13,4169.13,4123.16,29480000.0,-0.011000000000000001
2011-11-16,4170.7,4177.6,4181.32,4164.15,85850000.0,-0.0015
2011-11-15,4177.01,4179.69,4227.4,4162.44,32180000.0,-0.0009
2011-11-14,4180.82,4294.69,4294.69,4180.82,40020000.0,-0.0274
2011-11-13,4298.73,4389.85,4392.14,4298.73,32009999.999999996,-0.019299999999999998
2011-11-10,4383.49,4411.27,4411.27,4362.83,20220000.0,-0.0077
2011-11-09,4417.54,4426.26,4451.92,4417.54,26100000.0,-0.0015
2011-11-03,4424.02,4389.42,4424.18,4387.18,24180000.0,0.0079
2011-11-02,4389.45,4391.3,4392.46,4370.8,23550000.0,-0.0004
