Date,Price,Open,High,Low,Vol.,Change %
2/2/2006,"8,007.76","8,139.96","8,220.07","8,007.76",,-1.62%
2/1/2006,"8,139.96","7,930.19","8,184.52","7,930.19",,2.65%
1/30/2006,"7,930.19","8,063.92","8,063.92","7,898.01",,-1.66%
1/29/2006,"8,063.92","7,888.19","8,199.08","7,888.19",,2.23%
1/26/2006,"7,888.19","7,647.62","7,903.79","7,647.62",,3.15%
1/25/2006,"7,647.62","7,530.63","7,663.06","7,522.78",,1.55%
1/24/2006,"7,530.63","7,683.45","7,683.45","7,381.99",,-1.99%
1/23/2006,"7,683.45","7,906.05","8,122.05","7,683.45",,-2.82%
1/22/2006,"7,906.05","7,684.85","7,931.50","7,464.85",,5.88%
1/19/2006,"7,467.10","7,259.76","7,467.10","7,259.76",,2.86%
1/18/2006,"7,259.76","7,336.58","7,336.58","7,254.73",,-1.05%
1/17/2006,"7,336.58","7,263.48","7,395.72","7,263.48",,1.01%
1/16/2006,"7,263.48","7,283.66","7,289.00","7,211.27",,-0.28%
1/15/2006,"7,283.66","7,357.08","7,363.91","7,168.04",,-1.00%
1/12/2006,"7,357.08","6,936.71","7,388.79","6,936.71",,6.06%
1/8/2006,"6,936.71","6,702.35","6,936.71","6,702.35",,3.50%
1/5/2006,"6,702.35","6,610.69","6,718.28","6,610.69",,1.39%
1/4/2006,"6,610.69","6,620.91","6,671.95","6,561.01",,-0.15%
1/3/2006,"6,620.91","6,502.60","6,638.49","6,502.60",,1.82%
1/2/2006,"6,502.60","6,324.70","6,570.10","6,324.70",,2.81%
12/29/2005,"6,324.70","6,257.36","6,330.01","6,257.36",,1.08%
12/28/2005,"6,257.36","6,129.39","6,257.36","6,129.39",,2.09%
12/27/2005,"6,129.39","6,152.10","6,155.71","6,102.98",,-0.37%
12/26/2005,"6,152.10","6,088.75","6,162.72","6,088.75",,1.04%
12/25/2005,"6,088.75","6,059.43","6,092.77","6,029.92",,0.48%
12/22/2005,"6,059.43","6,019.50","6,094.74","6,019.50",,0.66%
12/21/2005,"6,019.50","5,992.09","6,029.22","5,992.09",,0.46%
12/20/2005,"5,992.09","6,028.51","6,028.51","5,973.96",,-0.60%
12/19/2005,"6,028.51","6,050.19","6,135.79","5,998.77",,-0.36%
12/18/2005,"6,050.19","5,965.78","6,081.47","5,902.20",,1.41%
12/15/2005,"5,965.78","6,030.05","6,030.73","5,955.72",,-1.07%
12/14/2005,"6,030.05","6,033.72","6,072.62","6,030.05",,-0.06%
12/13/2005,"6,033.72","6,017.79","6,033.75","5,981.65",,0.26%
12/12/2005,"6,017.79","6,053.61","6,148.36","6,017.79",,-0.59%
12/11/2005,"6,053.61","6,093.53","6,172.36","6,047.42",,-0.24%
12/8/2005,"6,068.10","6,093.53","6,197.85","6,068.10",,-0.42%
12/7/2005,"6,093.53","5,839.59","6,093.53","5,839.59",,4.35%
12/6/2005,"5,839.59","5,813.74","5,869.41","5,813.74",,0.44%
12/5/2005,"5,813.74","5,782.33","5,860.91","5,781.86",,0.54%
12/4/2005,"5,782.33","5,603.22","5,782.33","5,603.22",,3.20%
12/1/2005,"5,603.22","5,551.88","5,603.23","5,529.19",,0.95%
11/30/2005,"5,550.60","5,638.32","5,643.34","5,550.60",,-1.54%
11/29/2005,"5,637.57","5,625.52","5,637.57","5,625.52",,0.21%
11/28/2005,"5,625.52","5,598.32","5,631.08","5,598.32",,0.49%
11/27/2005,"5,598.32","5,613.84","5,625.10","5,590.15",,-0.28%
11/24/2005,"5,613.84","5,568.25","5,617.37","5,540.60",,0.82%
11/23/2005,"5,568.25","5,688.55","5,688.55","5,540.54",,-2.11%
11/22/2005,"5,688.55","5,815.67","5,862.08","5,688.55",,-2.19%
11/21/2005,"5,815.67","5,792.05","5,821.53","5,792.05",,0.41%
11/20/2005,"5,792.05","5,724.96","5,803.68","5,725.12",,1.17%
11/17/2005,"5,725.12","5,761.81","5,761.81","5,716.92",,-0.64%
11/16/2005,"5,761.81","5,792.23","5,818.58","5,756.96",,-0.53%
11/15/2005,"5,792.23","5,742.61","5,792.45","5,717.97",,0.86%
11/14/2005,"5,742.61","5,896.43","5,897.43","5,742.25",,-2.61%
11/13/2005,"5,896.43","5,979.45","6,015.71","5,896.43",,-1.38%
11/10/2005,"5,978.73","6,040.90","6,054.76","5,975.93",,-1.01%
11/9/2005,"6,039.60","6,055.54","6,092.81","6,030.90",,-0.25%
11/8/2005,"6,055.00","5,967.13","6,072.43","5,966.64",,1.48%
11/7/2005,"5,966.64","5,946.45","5,967.10","5,895.71",,0.30%
11/6/2005,"5,948.89","5,737.07","5,967.48","5,737.07",,3.69%
11/1/2005,"5,737.07","5,627.58","5,742.30","5,622.07",,2.05%
10/31/2005,"5,622.07","5,514.45","5,622.07","5,514.45",,1.95%
10/30/2005,"5,514.45","5,457.65","5,514.45","5,445.36",,1.04%
10/27/2005,"5,457.65","5,489.25","5,508.72","5,456.01",,-0.60%
10/26/2005,"5,490.67","5,455.86","5,493.59","5,455.86",,0.62%
10/25/2005,"5,456.59","5,518.29","5,519.35","5,455.86",,-1.12%
10/24/2005,"5,518.29","5,553.95","5,565.12","5,509.43",,-0.68%
10/23/2005,"5,555.83","5,578.18","5,631.97","5,553.95",,-0.41%
10/20/2005,"5,578.74","5,488.26","5,591.39","5,488.26",,1.65%
10/19/2005,"5,488.42","5,612.21","5,615.86","5,488.23",,-2.22%
10/18/2005,"5,613.02","5,669.08","5,703.32","5,612.21",,-1.00%
10/17/2005,"5,670.00","5,631.53","5,728.29","5,631.53",,0.67%
10/16/2005,"5,632.20","5,684.55","5,699.25","5,631.53",,-0.92%
10/13/2005,"5,684.55","5,653.58","5,783.45","5,653.58",,0.52%
10/12/2005,"5,654.97","5,531.02","5,654.97","5,287.84",,2.24%
10/11/2005,"5,531.02","5,495.26","5,533.83","5,494.62",,0.65%
10/10/2005,"5,495.31","5,523.97","5,538.98","5,479.48",,-0.51%
10/9/2005,"5,523.49","5,453.97","5,523.97","5,444.22",,1.29%
10/5/2005,"5,453.14","5,464.46","5,468.49","5,440.20",,-0.19%
10/4/2005,"5,463.38","5,526.42","5,526.91","5,461.21",,-1.13%
10/3/2005,"5,525.79","5,575.10","5,588.58","5,525.79",,-0.88%
10/2/2005,"5,575.10","5,476.78","5,586.30","5,476.78",,1.80%
9/29/2005,"5,476.78","5,474.02","5,496.08","5,453.65",,0.02%
9/28/2005,"5,475.87","5,517.24","5,519.95","5,460.34",,-0.78%
9/27/2005,"5,518.70","5,413.90","5,548.54","5,413.90",,1.92%
9/26/2005,"5,414.88","5,384.88","5,428.27","5,369.47",,0.54%
9/25/2005,"5,385.59","5,231.07","5,385.59","5,230.86",,2.95%
9/22/2005,"5,231.07","5,103.33","5,233.49","5,103.33",,2.50%
9/21/2005,"5,103.34","5,058.62","5,103.34","5,052.54",,0.88%
9/20/2005,"5,058.62","5,078.87","5,079.24","5,057.06",,-0.43%
9/19/2005,"5,080.42","5,095.92","5,095.92","5,068.46",,-0.34%
9/18/2005,"5,097.72","5,125.35","5,179.67","5,095.33",,-0.58%
9/15/2005,"5,127.29","5,074.11","5,127.66","5,074.11",,1.01%
9/14/2005,"5,075.91","5,078.63","5,093.47","5,074.11",,-0.05%
9/13/2005,"5,078.30","5,058.20","5,080.78","5,055.82",,0.40%
9/12/2005,"5,058.16","5,117.68","5,121.12","5,050.60",,-1.17%
9/11/2005,"5,118.16","5,090.84","5,162.78","5,090.84",,0.52%
9/8/2005,"5,091.57","5,064.75","5,091.57","5,051.06",,0.53%
9/7/2005,"5,064.75","4,989.57","5,076.06","4,989.57",,1.50%
